route_id,trip_id,delay,trip_start
0050,D01668176,-73,44520
0050,D01668178,123,45060
0050,D01668180,465,45540
0050,D01668182,81,46080
0050,D01668186,37,46620
0050,D01668190,60,47160
0050,D01668194,124,47640
0050,D01668198,-44,48120
0050,D01668201,290,43920
0050,D01668202,15,48600
0050,D01668203,179,44460
0050,D01668206,16,49080
0050,D01668211,386,45000
0050,D01668212,-134,49560
0050,D01668213,32,45540
0050,D01668214,76,50040
0050,D01668215,-9,46020
0050,D01668216,163,50520
0050,D01668217,173,46560
0050,D01668218,414,51000
0050,D01668220,236,51480
0050,D01668221,293,47100
0050,D01668222,358,51960
0050,D01668223,238,47640
0050,D01668224,119,52380
0050,D01668225,243,48120
0050,D01668228,366,52860
0050,D01668229,135,48600
0050,D01668232,244,53340
0050,D01668233,82,49080
0050,D01668234,62,53820
0050,D01668235,77,49560
0050,D01668236,311,54300
0050,D01668237,264,50040
0050,D01668238,381,54720
0050,D01668239,154,50520
0050,D01668242,198,55140
0050,D01668243,176,51000
0050,D01668244,441,55560
0050,D01668248,13,55980
0050,D01668249,168,51480
0050,D01668250,134,56460
0050,D01668251,240,51960
0050,D01668252,83,56940
0050,D01668254,32,57360
0050,D01668255,-19,52440
0050,D01668259,295,52920
0050,D01668261,69,53400
0050,D01668271,432,53880
0050,D01668273,427,54360
0050,D01668275,78,54780
0050,D01668277,434,55260
0050,D01668279,436,55680
0050,D01668285,510,56160
0050,D01668287,449,56580
0050,D01668291,332,57060
0085,D0306018637,655,43980
0085,D0306018647,60,45180
0085,D0306018662,235,46380
0085,D0306018667,364,46980
0085,D0306019424,-87,46080
0085,D0306019427,-36,50580
0085,D0306019494,39,51720
0085,D0306019497,77,56400
0085,D0306021839,117,46680
0085,D0306021842,179,51480
0085,D0306021844,-6,47280
0085,D0306024486,195,48240
0085,D0306024489,422,52800
0085,D0306027324,-4,52140
0085,D0306027327,-61,56940
0085,D0306028053,-9,49560
0085,D0306028056,123,54240
0085,D0306028058,159,50460
0085,D0306028061,439,55140
0085,D0306028063,51,51360
0085,D0306028066,382,56040
0085,D0306034081,281,45780
0085,D0306034131,-7,44580
0085,D0306034151,889,43380
0085,D0306034163,15,48600
0085,D0306034166,-2,53280
0085,D0306044669,135,47880
0085,D0306044673,94,52380
0085,D0306045767,29,50880
0085,D0306045771,81,55500
0085,D0306048865,-19,51000
0085,D0306050126,264,55740
0085,D0306050147,210,56160
0085,D0306050168,323,57000
0085,D0306050714,-4,49080
0085,D0306050718,418,53700
0085,D0306051631,244,56640
0085,D0306053849,-3,47580
0085,D0306054101,77,48180
0085,D0306054104,318,43680
0085,D0306054108,248,48780
0085,D0306054132,177,52560
0085,D0306054136,141,57300
0085,D0306054188,-30,45480
0085,D0306054192,88,50100
0085,D0306054293,2,44280
0085,D0306054297,78,49200
0085,D0306054307,-28,44880
0085,D0306054311,13,49680
0085,D0306054349,62,53100
0085,D0306054353,-34,57840
0085,D0306054356,-62,53460
0085,D0306054370,69,53940
0085,D0306054377,77,54360
0085,D0306054384,200,54900
0085,D0306054398,258,55260
0085,D0306056738,7,49980
0085,D0306056742,-4,54600
0090,D03390273,752,44160
0090,D03390276,2,44760
0090,D03390279,126,45360
0090,D03390285,231,45960
0090,D03390294,40,46560
0090,D03390297,53,47160
0090,D03390303,184,47760
0090,D03390306,-8,48300
0090,D03390312,9,48840
0090,D03390313,161,44400
0090,D03390315,21,49380
0090,D03390316,119,45000
0090,D03390322,-120,45600
0090,D03390324,62,49920
0090,D03390325,328,46200
0090,D03390327,381,50460
0090,D03390328,220,46800
0090,D03390330,94,51000
0090,D03390452,219,51480
0090,D03390453,114,47340
0090,D03390455,52,52020
0090,D03390456,118,47880
0090,D03390458,52,52560
0090,D03390459,195,48420
0090,D03390461,-8,53040
0090,D03390462,135,48960
0090,D03390467,8,53580
0090,D03390468,311,49500
0090,D03390470,7,54060
0090,D03390471,189,50040
0090,D03390473,247,54540
0090,D03390474,203,50520
0090,D03390476,136,55020
0090,D03390477,341,51000
0090,D03390479,11,55440
0090,D03390480,414,51480
0090,D03390482,82,55860
0090,D03390485,-49,56340
0090,D03390486,-29,51960
0090,D03390488,21,56820
0090,D03390492,108,52440
0090,D03390494,145,57240
0090,D03390495,107,52920
0090,D03390497,266,57660
0090,D03390501,51,53400
0090,D03390507,298,53880
0090,D03390510,186,54360
0090,D03390513,63,54840
0090,D03390516,138,55320
0090,D03390519,258,55800
0090,D03390525,210,56280
0090,D03390528,272,56700
0090,D03390531,451,57120
0090,D03390537,-158,57960
0100,D0114113,18,49200
0100,D0114114,13,52800
0100,D0114115,7,56400
0100,D0114116,22,58200
0100,D0114117,14,60000
0110,D03944441,345,46620
0110,D03944444,56,46980
0110,D03944447,171,47280
0110,D03944450,-15,47580
0110,D03944452,176,46680
0110,D03944453,114,47880
0110,D03944618,-33,48120
0110,D03944620,183,47040
0110,D03944621,222,48420
0110,D03944627,-29,48960
0110,D03944629,-57,47760
0110,D03944630,-13,49260
0110,D03944633,-16,49500
