trip_id,bin_code,pred,actual,error,day,abs_error
D0167610,10,70.22930145263672,108.0,-37.77069854736328,2,37.77069854736328
D01676103,14,99.6432113647461,27.0,72.6432113647461,2,72.6432113647461
D01676105,15,64.90866088867188,-26.99999237060547,91.90865325927734,2,91.90865325927734
D0167611,9,34.490177154541016,207.0,-172.50982284545898,2,172.50982284545898
D0167612,11,117.89360046386719,216.00003051757812,-98.10643005371094,2,98.10643005371094
D0167614,11,121.15160369873047,192.0,-70.84839630126953,2,70.84839630126953
D0167615,9,36.73970031738281,156.0,-119.26029968261719,2,119.26029968261719
D0167616,11,124.12858581542969,491.0,-366.8714141845703,2,366.8714141845703
D0167618,12,174.11306762695312,504.0,-329.8869323730469,2,329.8869323730469
D0167619,10,84.94657897949219,167.0,-82.05342102050781,2,82.05342102050781
D016762,8,46.63693618774414,70.0,-23.36306381225586,2,23.36306381225586
D0167620,12,176.67674255371094,263.0,-86.32325744628906,2,86.32325744628906
D0167622,12,179.30294799804688,80.0,99.30294799804688,2,99.30294799804688
D0167623,10,90.99823760986328,41.0,49.99823760986328,2,49.99823760986328
D0167626,12,180.38101196289062,91.0,89.38101196289062,2,89.38101196289062
D0167628,13,202.90289306640625,279.0000305175781,-76.09713745117188,2,76.09713745117188
D0167629,11,85.20008087158203,-57.0,142.20008087158203,2,142.20008087158203
D0167632,13,203.34902954101562,411.0,-207.65097045898438,2,207.65097045898438
D0167634,13,203.7904052734375,-12.0,215.7904052734375,2,215.7904052734375
D0167636,13,204.084228515625,49.0,155.084228515625,2,155.084228515625
D0167637,11,91.6471176147461,320.0,-228.3528823852539,2,228.3528823852539
D016764,9,62.95398712158203,-41.0,103.95398712158203,2,103.95398712158203
D0167640,14,154.90457153320312,58.0,96.90457153320312,2,96.90457153320312
D0167641,12,90.64569091796875,-39.0,129.64569091796875,2,129.64569091796875
D0167642,14,153.337158203125,-44.0,197.337158203125,2,197.337158203125
D0167643,12,93.25813293457031,83.0,10.258132934570312,2,10.258132934570312
D01676454,47,32.30558395385742,80.0,-47.69441604614258,2,47.69441604614258
D0167646,14,151.6057586669922,187.0,-35.39424133300781,2,35.39424133300781
D01676461,47,27.24732208251953,62.0,-34.75267791748047,2,34.75267791748047
D016766,9,66.69078063964844,40.0,26.690780639648438,2,26.690780639648438
D01676603,47,27.476341247558594,-41.0,68.4763412475586,2,68.4763412475586
D0167665,12,95.86589050292969,260.0,-164.1341094970703,2,164.1341094970703
D0167666,14,149.75344848632812,203.0,-53.246551513671875,2,53.246551513671875
D0167669,12,97.95921325683594,158.0,-60.04078674316406,2,60.04078674316406
D0167670,15,143.0792999267578,272.0,-128.9207000732422,2,128.9207000732422
D0167672,15,141.6310577392578,-93.99999237060547,235.63105010986328,2,235.63105010986328
D0167673,13,104.41083526611328,174.0,-69.58916473388672,2,69.58916473388672
D0167677,13,106.22236633300781,54.0,52.22236633300781,2,52.22236633300781
D0167679,13,108.5590591430664,245.0,-136.4409408569336,2,136.4409408569336
D016768,10,66.85711669921875,222.0,-155.14288330078125,2,155.14288330078125
D0167683,13,109.98929595947266,58.0,51.989295959472656,2,51.989295959472656
D0167685,14,102.67243957519531,4.0,98.67243957519531,2,98.67243957519531
D0167687,14,102.01959228515625,10.0,92.01959228515625,2,92.01959228515625
D0167691,14,100.81086730957031,81.0,19.810867309570312,2,19.810867309570312
C953911,7,9.48819351196289,-23.0,32.48819351196289,2,32.48819351196289
D0166110,9,2.3140716552734375,-3.0,5.3140716552734375,2,5.3140716552734375
D0166114,8,29.298519134521484,80.0,-50.701480865478516,2,50.701480865478516
D0166115675,10,31.70938491821289,156.0,-124.29061508178711,2,124.29061508178711
D0166115683,13,52.40727996826172,-9.0,61.40727996826172,2,61.40727996826172
D0166115692,11,65.07292175292969,183.0,-117.92707824707031,2,117.92707824707031
D0166115693,13,55.874507904052734,43.0,12.874507904052734,2,12.874507904052734
D0166115695,11,54.098636627197266,13.0,41.098636627197266,2,41.098636627197266
D0166115698,14,59.65614318847656,71.0,-11.343856811523438,2,11.343856811523438
D0166115702,12,99.05622863769531,-38.00000762939453,137.05623626708984,2,137.05623626708984
D0166115703,14,59.753971099853516,19.0,40.753971099853516,2,40.753971099853516
D0166115715,12,75.78593444824219,-30.0,105.78593444824219,2,105.78593444824219
D0166115718,14,59.3919677734375,20.0,39.3919677734375,2,39.3919677734375
D0166115728,15,36.59539794921875,-29.0,65.59539794921875,2,65.59539794921875
D0166115730,12,79.57147216796875,-218.0,297.57147216796875,2,297.57147216796875
D0166115740,13,30.869842529296875,-18.0,48.869842529296875,2,48.869842529296875
D0166115760,13,32.36823654174805,-184.0,216.36823654174805,2,216.36823654174805
D0166115765,14,8.41312026977539,-60.99999237060547,69.41311264038086,2,69.41311264038086
D0166115770,14,9.716087341308594,-111.99999237060547,121.71607971191406,2,121.71607971191406
D0166115780,14,10.197662353515625,-98.99999237060547,109.1976547241211,2,109.1976547241211
D0166115795,15,3.427154541015625,-47.0,50.427154541015625,2,50.427154541015625
D0166115838,13,56.529518127441406,3.0,53.529518127441406,2,53.529518127441406
D0166115843,13,54.80137634277344,41.0,13.801376342773438,2,13.801376342773438
D0166116115,13,29.10224151611328,-28.0,57.10224151611328,2,57.10224151611328
D0166119,9,38.255958557128906,77.0,-38.744041442871094,2,38.744041442871094
D0166119176,47,12.84249496459961,64.0,-51.15750503540039,2,51.15750503540039
D0166121531,14,9.12149429321289,-109.99999237060547,119.12148666381836,2,119.12148666381836
D0166124,9,40.137969970703125,23.0,17.137969970703125,2,17.137969970703125
D0166129,10,32.7082633972168,-98.99999237060547,131.70825576782227,2,131.70825576782227
D0166132,8,20.339515686035156,-52.0,72.33951568603516,2,72.33951568603516
D0166139,10,34.60441589355469,-7.0,41.60441589355469,2,41.60441589355469
D0166142,9,25.99013900756836,-35.0,60.99013900756836,2,60.99013900756836
D0166144,11,19.510028839111328,-60.99999237060547,80.5100212097168,2,80.5100212097168
D016615,8,-15.397636413574219,-15.0,-0.39763641357421875,2,0.39763641357421875
D016616338,11,20.669403076171875,133.0,-112.33059692382812,2,112.33059692382812
D016616340,9,21.90256118774414,-78.99999237060547,100.90255355834961,2,100.90255355834961
D016616343,11,21.734325408935547,6.0,15.734325408935547,2,15.734325408935547
D016616348,12,26.194923400878906,-110.99999237060547,137.19491577148438,2,137.19491577148438
D016616350,10,29.85110855102539,-103.99999237060547,133.85110092163086,2,133.85110092163086
D016616353,12,27.815231323242188,3.0,24.815231323242188,2,24.815231323242188
D016616358,12,29.461715698242188,216.00003051757812,-186.53831481933594,2,186.53831481933594
D04681103,15,66.39807891845703,37.0,29.39807891845703,2,29.39807891845703
D04681118,15,65.99857330322266,-30.0,95.99857330322266,2,95.99857330322266
D0468112,10,51.95695495605469,-26.99999237060547,78.95694732666016,2,78.95694732666016
D0468115,10,53.203983306884766,-11.0,64.20398330688477,2,64.20398330688477
D0468116,9,53.641014099121094,70.0,-16.358985900878906,2,16.358985900878906
D0468118,11,41.23908996582031,0.0,41.23908996582031,2,41.23908996582031
D0468121,11,41.9124870300293,126.0,-84.0875129699707,2,84.0875129699707
D0468122,9,59.56609344482422,-31.0,90.56609344482422,2,90.56609344482422
D0468124,11,42.58298873901367,3.0,39.58298873901367,2,39.58298873901367
D0468127,11,43.531761169433594,64.0,-20.468238830566406,2,20.468238830566406
D046813,9,31.48013687133789,21.0,10.48013687133789,2,10.48013687133789
D0468130,12,57.97325134277344,75.0,-17.026748657226562,2,17.026748657226562
D0468131,10,60.69108581542969,100.0,-39.30891418457031,2,39.30891418457031
D0468133,12,59.60593795776367,29.999996185302734,29.605941772460938,2,29.605941772460938
D0468136,12,61.339134216308594,9.0,52.339134216308594,2,52.339134216308594
D0468137,11,43.18980407714844,51.0,-7.8101959228515625,2,7.8101959228515625
D0468139,13,55.69477462768555,-23.0,78.69477462768555,2,78.69477462768555
D0468142,13,56.275657653808594,-8.0,64.2756576538086,2,64.2756576538086
D0468143,11,45.492862701416016,124.0,-78.50713729858398,2,78.50713729858398
D0468145,13,56.68290710449219,-70.99999237060547,127.68289947509766,2,127.68289947509766
D0468146,11,46.9798469543457,12.0,34.9798469543457,2,34.9798469543457
D0468148,13,56.28575134277344,66.0,-9.714248657226562,2,9.714248657226562
D0468149,12,56.38046646118164,23.0,33.38046646118164,2,33.38046646118164
D0468151,14,41.78584289550781,-111.99999237060547,153.78583526611328,2,153.78583526611328
D0468152,12,58.158355712890625,76.0,-17.841644287109375,2,17.841644287109375
D0468154,14,41.82427978515625,75.0,-33.17572021484375,2,33.17572021484375
D0468155,12,60.10712432861328,33.0,27.10712432861328,2,27.10712432861328
D0468157,14,41.45584487915039,143.0,-101.54415512084961,2,101.54415512084961
D046816,9,32.48218536376953,29.0,3.4821853637695312,2,3.4821853637695312
D0468161,12,61.615379333496094,9.0,52.615379333496094,2,52.615379333496094
D0468163,15,43.604888916015625,8.0,35.604888916015625,2,35.604888916015625
D0468167,13,50.65916442871094,45.0,5.6591644287109375,2,5.6591644287109375
D0468169,15,43.13917541503906,86.0,-42.86082458496094,2,42.86082458496094
D0468170,13,51.71434783935547,-7.0,58.71434783935547,2,58.71434783935547
D0468176,13,52.048912048339844,-17.0,69.04891204833984,2,69.04891204833984
D0468179,14,43.681724548339844,-17.0,60.681724548339844,2,60.681724548339844
D0468182,14,43.669185638427734,61.0,-17.330814361572266,2,17.330814361572266
D046819,10,50.40886688232422,32.0,18.40886688232422,2,18.40886688232422
D0468191,14,43.870574951171875,73.0,-29.129425048828125,2,29.129425048828125
D0468194,14,44.41305160522461,-45.0,89.41305160522461,2,89.41305160522461
D0468197,15,66.88448333740234,86.0,-19.115516662597656,2,19.115516662597656
D011101,11,31.805908203125,-30.0,61.805908203125,2,61.805908203125
D011102,12,18.96065902709961,-1.0,19.96065902709961,2,19.96065902709961
D011103,13,10.354515075683594,15.0,-4.645484924316406,2,4.645484924316406
D011104,14,38.59772491455078,26.0,12.597724914550781,2,12.597724914550781
D011105,15,38.3291015625,65.0,-26.6708984375,2,26.6708984375
D011106,16,42.98154830932617,13.0,29.981548309326172,2,29.981548309326172
D0435610,9,-2.2757644653320312,1.0,-3.2757644653320312,2,3.2757644653320312
D04356104,15,59.553855895996094,253.00003051757812,-193.44617462158203,2,193.44617462158203
D04356106,14,42.632423400878906,-8.0,50.632423400878906,2,50.632423400878906
D04356107,15,59.977012634277344,12.0,47.977012634277344,2,47.977012634277344
D04356109,15,53.49766159057617,103.0,-49.50233840942383,2,49.50233840942383
D0435611,10,18.988178253173828,26.0,-7.011821746826172,2,7.011821746826172
D04356110,16,57.066795349121094,127.0,-69.9332046508789,2,69.9332046508789
D04356115,15,53.257102966308594,127.0,-73.7428970336914,2,73.7428970336914
D04356116,16,57.28850555419922,143.0,-85.71149444580078,2,85.71149444580078
D04356121,15,52.97511291503906,130.0,-77.02488708496094,2,77.02488708496094
D04356122,16,57.69084930419922,203.0,-145.30915069580078,2,145.30915069580078
D04356127,15,52.29942321777344,11.0,41.29942321777344,2,41.29942321777344
D04356128,16,57.91128921508789,81.0,-23.08871078491211,2,23.08871078491211
D0435613,10,38.578086853027344,59.0,-20.421913146972656,2,20.421913146972656
D04356130,16,60.58018493652344,137.0,-76.41981506347656,2,76.41981506347656
D04356131,16,58.08258819580078,101.0,-42.91741180419922,2,42.91741180419922
D04356133,16,60.43113327026367,11.0,49.43113327026367,2,49.43113327026367
D04356139,16,60.110748291015625,144.0,-83.88925170898438,2,83.88925170898438
D0435614,11,28.70471954345703,32.0,-3.2952804565429688,2,3.2952804565429688
D04356145,16,59.941871643066406,-32.0,91.9418716430664,2,91.9418716430664
D0435616,10,40.265960693359375,86.0,-45.734039306640625,2,45.734039306640625
D0435617,11,28.778148651123047,45.0,-16.221851348876953,2,16.221851348876953
D043562,8,26.67882537841797,-18.0,44.67882537841797,2,44.67882537841797
D0435620,11,28.8505859375,-2.0,30.8505859375,2,30.8505859375
D043562317,47,8.594158172607422,66.0,-57.40584182739258,2,57.40584182739258
D0435625,11,73.10966491699219,99.0,-25.890335083007812,2,25.890335083007812
D0435626,12,45.16195297241211,61.0,-15.83804702758789,2,15.83804702758789
D0435628,11,76.02828216552734,-11.0,87.02828216552734,2,87.02828216552734
D0435629,12,48.162315368652344,62.0,-13.837684631347656,2,13.837684631347656
D0435631,12,93.32734680175781,59.0,34.32734680175781,2,34.32734680175781
D0435632,12,50.196937561035156,58.0,-7.803062438964844,2,7.803062438964844
D0435634,12,96.14014434814453,-2.0,98.14014434814453,2,98.14014434814453
D0435635,13,69.53665161132812,18.0,51.536651611328125,2,51.536651611328125
D0435640,12,98.762939453125,17.000003814697266,81.76293563842773,2,81.76293563842773
D0435641,13,71.67308807373047,145.0,-73.32691192626953,2,73.32691192626953
D043565,9,-10.666862487792969,-2.0,-8.666862487792969,2,8.666862487792969
D0435665,13,73.0947265625,86.0,-12.9052734375,2,12.9052734375
D0435667,13,41.27133560180664,62.0,-20.72866439819336,2,20.72866439819336
D0435668,14,47.501914978027344,29.999996185302734,17.50191879272461,2,17.50191879272461
D0435670,13,41.58908462524414,83.0,-41.41091537475586,2,41.41091537475586
D0435671,14,48.94255065917969,105.0,-56.05744934082031,2,56.05744934082031
D0435677,14,49.699546813964844,42.0,7.699546813964844,2,7.699546813964844
D0435679,13,42.690914154052734,87.0,-44.309085845947266,2,44.309085845947266
D043568,9,-9.467964172363281,6.0,-15.467964172363281,2,15.467964172363281
D0435680,14,50.52117156982422,54.0,-3.4788284301757812,2,3.4788284301757812
D0435682,14,41.14274597167969,18.0,23.142745971679688,2,23.142745971679688
D0435683,14,51.67326736450195,51.0,0.6732673645019531,2,0.6732673645019531
D0435692,15,57.94483947753906,54.0,3.9448394775390625,2,3.9448394775390625
D0435694,14,41.65678787231445,157.0,-115.34321212768555,2,115.34321212768555
D0435695,15,58.377105712890625,63.0,-4.622894287109375,2,4.622894287109375
C951251337,9,31.295211791992188,-52.0,83.29521179199219,2,83.29521179199219
C951251340,10,19.044517517089844,-23.0,42.044517517089844,2,42.044517517089844
C951251415,11,62.416351318359375,57.0,5.416351318359375,2,5.416351318359375
C951251418,12,21.45575714111328,15.0,6.455757141113281,2,6.455757141113281
C951252561,13,131.71475219726562,138.0,-6.285247802734375,2,6.285247802734375
C951252801,15,46.586936950683594,63.0,-16.413063049316406,2,16.413063049316406
C951252804,16,32.95638656616211,-84.99999237060547,117.95637893676758,2,117.95637893676758
C951251351,9,33.17631530761719,78.0,-44.82368469238281,2,44.82368469238281
C951253,8,26.070167541503906,-18.0,44.070167541503906,2,44.070167541503906
D0451710,13,108.99191284179688,83.0,25.991912841796875,2,25.991912841796875
D0451712,13,109.71537017822266,42.0,67.71537017822266,2,67.71537017822266
D0451715,12,91.30445861816406,76.0,15.304458618164062,2,15.304458618164062
